City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
292,Banda Aceh,ID,5.5577,95.3222,85.32,67,100,3.98,overcast clouds
293,Bambanglipuro,ID,-7.95,110.2833,84.9,59,56,5.53,broken clouds
294,San Ramon,US,37.7799,-121.978,69.8,30,1,9.22,clear sky
295,Araouane,ML,18.9048,-3.5265,85.66,15,78,10.92,broken clouds
296,Chokurdakh,RU,70.6333,147.9167,26.49,90,99,12.64,overcast clouds
297,Leningradskiy,RU,69.3833,178.4167,27.28,72,100,1.23,overcast clouds
298,Waingapu,ID,-9.6567,120.2641,84.06,51,9,5.39,clear sky
299,Krasnyy Chikoy,RU,50.3643,108.7512,43.2,27,77,1.81,broken clouds
300,Coquimbo,CL,-29.9533,-71.3436,55.4,88,0,3.44,clear sky
301,Kyren,RU,51.6828,102.1408,52.2,57,43,5.41,scattered clouds
302,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,44.6,65,20,13.42,few clouds
303,Mpika,ZM,-11.8343,31.4529,60.26,98,42,7.14,scattered clouds
304,Nikolskoye,RU,59.7035,30.7861,37.0,80,0,4.52,clear sky
305,Zheleznodorozhnyy,RU,55.7503,38.0042,39.2,75,0,4.47,clear sky
306,Fortuna,US,40.5982,-124.1573,51.01,100,90,9.22,overcast clouds
307,Houma,US,29.5958,-90.7195,75.0,94,75,6.91,broken clouds
308,Chengde,CN,40.9725,117.9361,61.75,14,90,16.75,overcast clouds
309,Souris,CA,49.6172,-100.2612,30.2,80,20,4.61,few clouds
310,Faanui,PF,-16.4833,-151.75,81.81,74,64,10.51,broken clouds
311,Esperance,AU,-33.8667,121.9,86.0,14,97,24.16,overcast clouds
312,Mubi,NG,10.2676,13.2644,79.83,43,100,1.95,overcast clouds
313,Salalah,OM,17.0151,54.0924,84.2,79,75,4.61,broken clouds
314,Bilma,NE,18.6853,12.9164,81.88,10,5,5.55,clear sky
315,Santa Cruz,BO,-17.8,-63.1667,69.8,60,75,8.05,light rain
316,Vostok,RU,46.4856,135.8833,50.9,23,5,9.13,clear sky
317,Bubaque,GW,11.2833,-15.8333,77.23,69,65,14.58,broken clouds
318,Sitka,US,57.0531,-135.33,48.2,81,90,6.91,light rain
319,Strezhevoy,RU,60.7333,77.5889,39.2,87,75,4.47,light rain
320,Hambantota,LK,6.1241,81.1185,84.2,84,40,10.36,scattered clouds
321,Ranong,TH,9.9658,98.6348,89.6,66,20,4.61,few clouds
322,The Valley,AI,18.217,-63.0578,77.0,83,75,4.61,broken clouds
323,Wagar,SD,16.1525,36.2032,79.12,57,4,11.5,clear sky
324,Buala,SB,-8.145,159.5921,82.18,77,99,3.36,light rain
325,Nagato,JP,34.3833,131.2,59.0,94,75,6.91,broken clouds
326,Gazojak,TM,41.1875,61.4036,84.83,16,56,8.61,broken clouds
327,Camacha,PT,33.0833,-16.3333,59.0,77,20,4.61,few clouds
328,Ostrovnoy,RU,68.0531,39.5131,19.56,82,82,7.74,broken clouds
329,Carsamba,TR,41.1989,36.7219,57.0,87,75,5.75,fog
330,Naivasha,KE,-0.7167,36.4359,55.99,93,99,2.91,overcast clouds
331,Bermejo,AR,-32.8833,-68.8,57.2,72,0,5.75,clear sky
332,Mahina,PF,-17.5065,-149.489,84.0,74,75,3.44,broken clouds
333,Rosarito,MX,32.3333,-117.0333,64.4,72,1,6.26,clear sky
334,Verkhnyaya Inta,RU,65.9811,60.3094,28.53,95,100,8.77,light snow
335,Grand Island,US,40.925,-98.342,53.6,76,20,8.05,few clouds
336,Fereydunshahr,IR,32.941,50.121,51.4,47,0,2.24,clear sky
337,Vagur,FO,61.4732,-6.8119,41.22,66,43,21.09,scattered clouds
338,Olafsvik,IS,64.8945,-23.7142,40.69,73,22,0.89,few clouds
339,Nador,MA,35.174,-2.9287,62.6,72,0,6.91,clear sky
340,Maues,BR,-3.3836,-57.7186,71.94,98,96,0.54,moderate rain
341,Ketchikan,US,55.3422,-131.6461,48.2,93,90,9.22,moderate rain
342,Chilakalurupet,IN,16.0833,80.1667,93.54,46,31,10.6,scattered clouds
343,Harbour Breton,CA,47.4833,-55.7983,37.58,93,100,12.33,overcast clouds
